name,start_date,end_date,location,link,geographical_region,keywords
雲林市集-舊城新藝・秋收農學市集！-2023/10月,2023-10-01,2023-10-31,雲林縣,https://www.twmarket.tw/?p=46402,中臺灣,#雲林市集 #斗六市集 #友善食農 #地方工藝 #舊城新意 #市集招募 #歡迎分享 #雲林市集 #斗六市集 #友善食農 #地方工藝 #舊城新意 #市集招募 #歡迎分享 #雲林市集 #斗六市集 #友善食農 #地方工藝 #舊城新意 #市集招募 #歡迎分享
2024.02.02 台中市-飛爾市集 › 大里藝術廣場 年貨大街市集 ✦,2024-02-02,2024-02-02,台中市,https://www.twmarket.tw/?p=47152,中臺灣,
2024.02.02 新北市集-好運瀧總來 x 瀧年888 新店捷運站,2024-02-02,2024-02-02,新北市,https://www.twmarket.tw/?p=47368,北臺灣,#2月 #過年前夕#新店捷運站 #過年送開運 #外星人市集
2024.02.02~04 台北市-台北圓山花博,2024-02-02,2024-02-04,台北市,https://www.twmarket.tw/?p=47086,北臺灣,
2024.02.02~04 桃園市-週末便利市集,2024-02-02,2024-02-04,桃園市,https://www.twmarket.tw/?p=47895,北臺灣,#桃園市 #2月 #市集 #社區 #假日
2024.02.02~06-桃園中茂新天地-年貨大街,2024-02-02,2024-02-06,桃園市,https://www.twmarket.tw/?p=47908,北臺灣,
2024.02.03 台北市-年年春 復古年貨小市集-迪化街十連棟,2024-02-03,2024-02-03,台北市,https://www.twmarket.tw/?p=47487,北臺灣,
2024.02.03 台北市-微瘋×大稻埕貨櫃年前療癒市集~萌寵女人我最大,2024-02-03,2024-02-03,台北市,https://www.twmarket.tw/?p=46995,北臺灣,#2月 #身心靈 #療癒 #身心靈療癒~ #萌寵 #女人 #大稻埕碼頭 #市集 #貨櫃市集 #手作 #手作市集 #大稻埕 #碼頭 #寵物
2024.02.03 新竹縣-純市集-享過年,2024-02-03,2024-02-03,新竹縣,https://www.twmarket.tw/?p=47629,北臺灣,
2024.02.03 桃園市-桃園/八德置地生活廣場x生機勃勃早春微瘋市集~,2024-02-03,2024-02-03,桃園市,https://www.twmarket.tw/?p=47465,北臺灣,#2月 #桃園 #八德 #置地生活廣場 #手作市集 #手作 #市集 #百貨 #商場 #賣場 #社區 #輕食
2024.02.03 高雄市-溫度逝光x楠梓翠屏里活動中心x有愛無癌 擁抱希望,2024-02-03,2024-02-03,高雄市,https://www.twmarket.tw/?p=47652,南臺灣,
2024.02.03~04 新北市-2月新莊宏匯廣場X宏匯微瘋時尚新春檔期,2024-02-03,2024-02-04,新北市,https://www.twmarket.tw/?p=47768,北臺灣,#2月 #新莊 #宏匯廣場 #宏匯 #新春 #市集 #新春市集 #手作市集 #時尚 #百貨 #商場 #社區
2024.02.03~04 新北市-龍年龍好運市集,2024-02-03,2024-02-04,新北市,https://www.twmarket.tw/?p=47935,北臺灣,
2024.02.04 台南市-糖業鐵道文化市集,2024-02-04,2024-02-04,台南市,https://www.twmarket.tw/?p=47553,南臺灣,
2024.02.05 高雄市-夢時代7F新春強檔展售活動,2024-02-05,2024-02-05,高雄市,https://www.twmarket.tw/?p=47676,南臺灣,#2月 #春節 #寒假 #高雄市 #高雄夢時代 #攤櫃招商 #室內寄售 #過年返鄉人潮 #無須站櫃 #熱烈招募中 #快閃 #2月 #春節 #寒假 #高雄市 #高雄夢時代 #攤櫃招商 #室內寄售 #過年返鄉人潮 #無須站櫃 #熱烈招募中 #快閃 #2月 #春節 #寒假 #高雄市 #高雄夢時代 #攤櫃招商 #室內寄售 #過年返鄉人潮 #無須站櫃 #熱烈招募中 #快閃
2024.02.08 台北市-摭拾368創意市集 in 2024創作者博覽會進櫃合作報名,2024-02-08,2024-02-08,台北市,https://www.twmarket.tw/?p=47079,北臺灣,
2024.02.08 台北市-滿市好物 伴手禮市集 報名表單,2024-02-08,2024-02-08,台北市,https://www.twmarket.tw/?p=47696,北臺灣,
2024.02.08 桃園市-過年強檔-中壢市仁海宮,2024-02-08,2024-02-08,桃園市,https://www.twmarket.tw/?p=47172,北臺灣,
2024.02.09 高雄市-高雄的年味在鳳山,2024-02-09,2024-02-09,高雄市,https://www.twmarket.tw/?p=47641,南臺灣,
2024.02.10 台北市-微瘋市集二月加開新春檔次~美麗華市集一次連五天,2024-02-10,2024-02-10,台北市,https://www.twmarket.tw/?p=47632,北臺灣,#2月 #台北 #大直 #內湖 #美麗華 #摩天輪 #市集 #手作 #手作市集 #百貨 #商場 #賣場 #廣場 #年節 #新春 #早春 #過年 #新春市集 #喜氣
2024.02.10 新竹市集-新春 佳節好去處-好客文創園區 X微瘋,2024-02-10,2024-02-10,新竹市,https://www.twmarket.tw/?p=46734,北臺灣,"市集內容：#2024#2月#新春 佳節好去處#新竹#湖口#好客文創園區 X微瘋#市集#過年#春節#景點#觀光#親子在不知不覺中2024年的鐘聲敲響了,盼望已久的春節終于來了~這樣熱烈祥和、繁華喜慶的節日氣氛，真是令人心潮澎湃 市集內容：#2024#2月#新春 佳節好去處#新竹#湖口#好客文創園區 X微瘋#市集#過年#春節#景點#觀光#親子在不知不覺中2024年的鐘聲敲響了,盼望已久的春節終于來了~這樣熱烈祥和、繁華喜慶的節日氣氛，真是令人心潮澎湃 市集內容：#2024#2月#新春 佳節好去處#新竹#湖口#好客文創園區 X微瘋#市集#過年#春節#景點#觀光#親子 市集內容：#2024#2月#新春 佳節好去處#新竹#湖口#好客文創園區 X微瘋#市集#過年#春節#景點#觀光#親子 #2024#2月#新春 佳節好去處#新竹#湖口#好客文創園區 X微瘋#市集#過年#春節#景點#觀光#親子"
2024.02.10-12 高雄市-嚨來市集,2024-02-10,2024-02-12,高雄市,https://www.twmarket.tw/?p=47451,南臺灣,#2月 #高雄市 #前鎮區 #高雄市集 #過年市集 #台塑王氏昆仲公園
2024.02.10-13 台南市-新春嘉年華 X 趴兔市集,2024-02-10,2024-02-13,台南市,https://www.twmarket.tw/?p=48018,南臺灣,#2月 #台南 #市集 #台南市集 #招商 #付費市集 #美食 #文創 #手作 #餐車 #常態市集 #focus #過年市集 #年貨大街 #2 # # # # # # # # # # #focus #過年市集 #年貨大街
2024.02.10-台南市-新春嘉年華X 趴兔市集,2024-02-10,2024-02-10,台南市,https://www.twmarket.tw/?p=46952,南臺灣,#2月 #台南 #市集 #台南市集 #招商 #付費市集 #美食 #文創 #手作 #餐車 #常態市集 #focus #2 # # # # # # # # # # #focus
2024.02.10~14 南投縣-妖怪森林 山神祭過年檔期市集,2024-02-10,2024-02-14,南投縣,https://www.twmarket.tw/?p=47962,中臺灣,#過年市集 #南投溪頭 #妖怪森林 #山神祭 #妖怪大遊行 #闖關活動 #十組馬戲節目#奇幻城主題市集 #萬花感官部隊 #僅限12攤
2024.02.10~14 高雄市-好市花昇,2024-02-10,2024-02-14,高雄市,https://www.twmarket.tw/?p=47820,南臺灣,#日破萬人活動場次 #先報名先登記錄取 #強檔等著你報名
2024.02.11 台南市集-兜文創MRKET Ｘ 萌寵時裝展(農曆年檔期）,2024-02-11,2024-02-11,台南市,https://www.twmarket.tw/?p=46354,南臺灣,市集內容：#台南市 #2月 #農曆新年市集 #新光三越西門店 #寵物市集 #百貨市集 #寵物友善 #寵物領養 #兜文創MARKET #萌寵時裝展兜文創MARKET品牌報名一覽表：https://linktr.ee/move_round_market 市集內容：#台南市 #2月 #農曆新年市集 #新光三越西門店 #寵物市集 #百貨市集 #寵物友善 #寵物領養 #兜文創MARKET #萌寵時裝展兜文創MARKET品牌報名一覽表：https://linktr.ee/move_round_market 市集內容：#台南市 #2月 #農曆新年市集 #新光三越西門店 #寵物市集 #百貨市集 #寵物友善 #寵物領養 #兜文創MARKET #萌寵時裝展 市集內容：#台南市 #2月 #農曆新年市集 #新光三越西門店 #寵物市集 #百貨市集 #寵物友善 #寵物領養 #兜文創MARKET #萌寵時裝展
2024.02.11 台南市集-虎翔MARKETＸ河樂（早場）Ｘ海安（晚場）,2024-02-11,2024-02-11,台南市,https://www.twmarket.tw/?p=46596,南臺灣,市集內容：#台南市 #2月 #農曆新年市集 #河樂廣場 #年貨小吉市 #虎翔市集 #景點市集 #海安商圈 #2024年 #農曆年 #初二到初四 #台南市 #海安路 #甜點祭 #服飾祭 #虎翔市集 #府城 #國華街 #神農街 #正興街『兩場一起報、讓您現折兩百元，鬧區讓您從早到晚營業不間斷， 市集內容：#台南市 #2月 #農曆新年市集 #河樂廣場 #年貨小吉市 #虎翔市集 #景點市集 #海安商圈 #2024年 #農曆年 #初二到初四 #台南市 #海安路 #甜點祭 #服飾祭 #虎翔市集 #府城 #國華街 #神農街 #正興街『兩場一起報、讓您現折兩百元，鬧區讓您從早到晚營業不間斷， 市集內容：#台南市 #2月 #農曆新年市集 #河樂廣場 #年貨小吉市 #虎翔市集 #景點市集 #海安商圈 #2024年 #農曆年 #初二到初四 #台南市 #海安路 #甜點祭 #服飾祭 #虎翔市集 #府城 #國華街 #神農街 #正興街 市集內容：#台南市 #2月 #農曆新年市集 #河樂廣場 #年貨小吉市 #虎翔市集 #景點市集 #海安商圈 #2024年 #農曆年 #初二到初四 #台南市 #海安路 #甜點祭 #服飾祭 #虎翔市集 #府城 #國華街 #神農街 #正興街
2024.02.11 雲林市集-「扌龍」 賀！哪樣不需要手作 ｜#品牌招募中｜,2024-02-11,2024-02-11,雲林縣,https://www.twmarket.tw/?p=47288,中臺灣,｜#品牌招募中｜ ｜#品牌招募中｜ #品牌招募中 #品牌招募中
2024.02.11~14 南投縣-光之市 Chapter 3 在工藝的世界裡，我們沐浴著金褐色的光,2024-02-11,2024-02-14,南投縣,https://www.twmarket.tw/?p=47743,中臺灣,
2024.02.11~18 新北市-淡水捷運2號出口廣場-農曆年特別場,2024-02-11,2024-02-18,新北市,https://www.twmarket.tw/?p=47734,北臺灣,
2024.02.12 台中市-飛爾市集 › NOVA新春迎財神 ✦,2024-02-12,2024-02-12,台中市,https://www.twmarket.tw/?p=47164,中臺灣,
2024.02.12 台中市-飛爾市集 › 大里藝術廣場 新春市集 ✦,2024-02-12,2024-02-12,台中市,https://www.twmarket.tw/?p=47154,中臺灣,
"2024.02.12 桃園市-愛，抱一下 LOVE,CUDDLING)",2024-02-12,2024-02-12,桃園市,https://www.twmarket.tw/?p=47372,北臺灣,
2024.02.12 桃園市-桃園/八德置地生活廣場X微瘋市集新春檔期,2024-02-12,2024-02-12,桃園市,https://www.twmarket.tw/?p=47550,北臺灣,#2月 #桃園 #八德 #桃園八德 #置地生活廣場 #百貨 #商場 #賣場 #市集 #手作市集 #手作 #新春 #早春 #過年
2024.02.12 高雄市-溫度逝光x衛武營國家藝術文化中心x新春龍賜福-春節限定場,2024-02-12,2024-02-12,高雄市,https://www.twmarket.tw/?p=47280,南臺灣,
2024.02.12~14 台中市-光之市 Chapter 4 春，浮光,2024-02-12,2024-02-14,台中市,https://www.twmarket.tw/?p=47746,中臺灣,
2024.02.16~18 台北市-信義商圈香堤大道廣場,2024-02-16,2024-02-18,台北市,https://www.twmarket.tw/?p=47090,北臺灣,
2024.02.17 台中市-飛爾市集 › 迪卡儂北屯店,2024-02-17,2024-02-17,台中市,https://www.twmarket.tw/?p=47156,中臺灣,
2024.02.17 台中市集-清新溫泉飯店x清新文創x二手市集,2024-02-17,2024-02-17,台中市,https://www.twmarket.tw/?p=47707,中臺灣,
2024.02.17 高雄市-溫度逝光x駁二藝術特區蓬萊倉庫x星空物語－水母際,2024-02-17,2024-02-17,高雄市,https://www.twmarket.tw/?p=47655,南臺灣,
2024.02.17~18 新竹市-2月新竹享平方Shown SquareX微瘋市集,2024-02-17,2024-02-18,新竹市,https://www.twmarket.tw/?p=47754,北臺灣,#2月 #新竹 #竹北 #新竹竹北 #竹北享平方 #享平方 #享平方Shown #百貨 #商場 #賣場 #市集 #手作市集 #服飾 #社區
2024.02.18 台北市-潘朵拉春吟龍山市集(室內場),2024-02-18,2024-02-18,台北市,https://www.twmarket.tw/?p=47760,北臺灣,#2月 #台北市 #萬華區 #付費市集#龍山捷運站 #龍山文創基地 #春遊龍山市集
2024.02.23 台北市-圓圓元宵 天母團聚市集,2024-02-23,2024-02-23,台北市,https://www.twmarket.tw/?p=47490,北臺灣,
2024.02.23~25 新北市-中和四號公園,2024-02-23,2024-02-25,新北市,https://www.twmarket.tw/?p=47094,北臺灣,
2024.02.23~25 桃園市-桃園總圖,2024-02-23,2024-02-25,桃園市,https://www.twmarket.tw/?p=47497,北臺灣,
2024.02.24 台中市-飛爾市集 › 一德洋樓,2024-02-24,2024-02-24,台中市,https://www.twmarket.tw/?p=47158,中臺灣,
2024.02.24 台北市-復古搖滾慶元宵,2024-02-24,2024-02-24,台北市,https://www.twmarket.tw/?p=47479,北臺灣,
2024.02.24 台北市-朶朶小語 情話呢喃 情人節市集,2024-02-24,2024-02-24,台北市,https://www.twmarket.tw/?p=47482,北臺灣,
2024.02.24 台北市-電公趴 二手市集,2024-02-24,2024-02-24,台北市,https://www.twmarket.tw/?p=48109,北臺灣,
